Location Key,Date,Observed Festival,Canonical Festival,Detail URL,Sankranti Moment,Punya Kala,Maha Punya Kala,Extracted Details,Completeness Status,Scan Error
geoname:6182962|city:windsor,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:36 PM to 08:31 PM,Simha Sankranti Maha Punya Kala - 06:13 PM to 08:31 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:36 PM to 08:31 PM | Simha Sankranti Maha Punya Kala - 06:13 PM to 08:31 PM,COMPLETE,
geoname:2643743|city:london,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 03:34 AM,Simha Sankranti Punya Kala - 05:49 AM to 01:04 PM,Simha Sankranti Maha Punya Kala - 05:49 AM to 08:14 AM,Simha Sankranti Moment - 03:34 AM | Simha Sankranti Punya Kala - 05:49 AM to 01:04 PM | Simha Sankranti Maha Punya Kala - 05:49 AM to 08:14 AM,COMPLETE,
geoname:1276533|city:belgaum,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:17 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:17 AM to 08:04 AM,COMPLETE,
geoname:1269920|city:hubli,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 06:15 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 06:15 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 06:15 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 06:15 AM to 08:04 AM,COMPLETE,
geoname:6173331|city:vancouver,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 07:34 PM,Simha Sankranti Punya Kala - 11:55 AM to 07:34 PM,Simha Sankranti Maha Punya Kala - 05:10 PM to 07:34 PM,Simha Sankranti Moment - 07:34 PM | Simha Sankranti Punya Kala - 11:55 AM to 07:34 PM | Simha Sankranti Maha Punya Kala - 05:10 PM to 07:34 PM,COMPLETE,
geoname:5108728|city:belfast,2026-08-16,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 10:34 PM,Simha Sankranti Punya Kala - 01:16 PM to 08:11 PM,Simha Sankranti Maha Punya Kala - 05:53 PM to 08:11 PM,Simha Sankranti Moment - 10:34 PM | Simha Sankranti Punya Kala - 01:16 PM to 08:11 PM | Simha Sankranti Maha Punya Kala - 05:53 PM to 08:11 PM,COMPLETE,
geoname:1835848|city:seoul,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 11:34 AM,Simha Sankranti Punya Kala - 05:49 AM to 11:34 AM,Simha Sankranti Maha Punya Kala - 09:18 AM to 11:34 AM,Simha Sankranti Moment - 11:34 AM | Simha Sankranti Punya Kala - 05:49 AM to 11:34 AM | Simha Sankranti Maha Punya Kala - 09:18 AM to 11:34 AM,COMPLETE,
geoname:2193733|city:auckland,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 02:34 PM,Simha Sankranti Punya Kala - 08:49 AM to 02:34 PM,Simha Sankranti Maha Punya Kala - 12:46 PM to 02:34 PM,Simha Sankranti Moment - 02:34 PM | Simha Sankranti Punya Kala - 08:49 AM to 02:34 PM | Simha Sankranti Maha Punya Kala - 12:46 PM to 02:34 PM,COMPLETE,
geoname:2179537|city:wellington,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 02:34 PM,Simha Sankranti Punya Kala - 08:57 AM to 02:34 PM,Simha Sankranti Maha Punya Kala - 12:48 PM to 02:34 PM,Simha Sankranti Moment - 02:34 PM | Simha Sankranti Punya Kala - 08:57 AM to 02:34 PM | Simha Sankranti Maha Punya Kala - 12:48 PM to 02:34 PM,COMPLETE,
geoname:2192362|city:christchurch,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 02:34 PM,Simha Sankranti Punya Kala - 09:01 AM to 02:34 PM,Simha Sankranti Maha Punya Kala - 12:50 PM to 02:34 PM,Simha Sankranti Moment - 02:34 PM | Simha Sankranti Punya Kala - 09:01 AM to 02:34 PM | Simha Sankranti Maha Punya Kala - 12:50 PM to 02:34 PM,COMPLETE,
geoname:1279290|city:agartala,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:01 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:01 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,COMPLETE,
geoname:1271476|city:guwahati,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 04:56 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 04:56 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,COMPLETE,
geoname:1256525|city:shiliguri,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:09 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:09 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,COMPLETE,
geoname:1279186|city:aizawl,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 04:55 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 04:55 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,COMPLETE,
geoname:1271631|city:gangtok,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 05:07 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 05:07 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:53 AM to 08:04 AM,COMPLETE,
geoname:1256287|city:silchar,2026-08-17,Simha Sankranti,Sankramana,https://www.drikpanchang.com/sankranti/simha-sankranti-date-time.html?year=2026,Simha Sankranti Moment - 08:04 AM,Simha Sankranti Punya Kala - 04:54 AM to 08:04 AM,Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,Simha Sankranti Moment - 08:04 AM | Simha Sankranti Punya Kala - 04:54 AM to 08:04 AM | Simha Sankranti Maha Punya Kala - 05:54 AM to 08:04 AM,COMPLETE,
